gen: auroc=0.97469, auprc=0.94900
dis: auroc=0.79180, auprc=0.81269
gen: auroc=0.97906, auprc=0.95271
dis: auroc=0.73503, auprc=0.76366
gen: auroc=0.98094, auprc=0.95452
dis: auroc=0.72524, auprc=0.75200
gen: auroc=0.98139, auprc=0.95500
dis: auroc=0.69436, auprc=0.71721
gen: auroc=0.98273, auprc=0.95629
dis: auroc=0.69528, auprc=0.69186
gen: auroc=0.98339, auprc=0.95675
dis: auroc=0.67226, auprc=0.65314
gen: auroc=0.98435, auprc=0.95742
dis: auroc=0.50947, auprc=0.58008
gen: auroc=0.98431, auprc=0.95726
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98589, auprc=0.95909
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98697, auprc=0.96030
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98768, auprc=0.96115
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98818, auprc=0.96161
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98797, auprc=0.96126
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98735, auprc=0.96010
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98668, auprc=0.95877
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98743, auprc=0.95987
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98768, auprc=0.96011
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98780, auprc=0.96014
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98914, auprc=0.96212
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98930, auprc=0.96225
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98926, auprc=0.96194
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98797, auprc=0.95963
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98718, auprc=0.95875
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98701, auprc=0.95864
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98672, auprc=0.95784
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98743, auprc=0.95904
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98643, auprc=0.95656
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98539, auprc=0.95334
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98522, auprc=0.95529
dis: auroc=0.49677, auprc=0.25000
gen: auroc=0.98647, auprc=0.95924
dis: auroc=0.49677, auprc=0.25000
