gen: auroc=0.97062, auprc=0.97652
dis: auroc=0.88430, auprc=0.84892
gen: auroc=0.96786, auprc=0.97203
dis: auroc=0.82736, auprc=0.78562
gen: auroc=0.96694, auprc=0.97132
dis: auroc=0.79431, auprc=0.72391
gen: auroc=0.96970, auprc=0.97076
dis: auroc=0.77319, auprc=0.69875
gen: auroc=0.96327, auprc=0.96096
dis: auroc=0.77043, auprc=0.70585
gen: auroc=0.93848, auprc=0.92723
dis: auroc=0.75849, auprc=0.67990
gen: auroc=0.93939, auprc=0.92701
dis: auroc=0.76400, auprc=0.71709
gen: auroc=0.92929, auprc=0.91554
dis: auroc=0.73003, auprc=0.62774
gen: auroc=0.92470, auprc=0.92292
dis: auroc=0.75758, auprc=0.64329
gen: auroc=0.90542, auprc=0.87560
dis: auroc=0.74656, auprc=0.63010
gen: auroc=0.86869, auprc=0.84700
dis: auroc=0.76492, auprc=0.64639
gen: auroc=0.88430, auprc=0.84048
dis: auroc=0.76033, auprc=0.64416
gen: auroc=0.86777, auprc=0.85623
dis: auroc=0.76033, auprc=0.63287
gen: auroc=0.85032, auprc=0.77652
dis: auroc=0.74288, auprc=0.62755
gen: auroc=0.85859, auprc=0.79901
dis: auroc=0.73829, auprc=0.61476
gen: auroc=0.81910, auprc=0.73341
dis: auroc=0.73003, auprc=0.59642
gen: auroc=0.78880, auprc=0.71598
dis: auroc=0.71993, auprc=0.58862
gen: auroc=0.79155, auprc=0.75488
dis: auroc=0.73003, auprc=0.60361
gen: auroc=0.78237, auprc=0.75981
dis: auroc=0.71166, auprc=0.58787
gen: auroc=0.75023, auprc=0.73492
dis: auroc=0.71809, auprc=0.59854
gen: auroc=0.76492, auprc=0.75776
dis: auroc=0.73646, auprc=0.61426
gen: auroc=0.73646, auprc=0.72793
dis: auroc=0.73829, auprc=0.62654
gen: auroc=0.75390, auprc=0.75411
dis: auroc=0.74931, auprc=0.63049
gen: auroc=0.76584, auprc=0.75627
dis: auroc=0.76951, auprc=0.65605
gen: auroc=0.75758, auprc=0.73955
dis: auroc=0.76033, auprc=0.66075
gen: auroc=0.72911, auprc=0.71477
dis: auroc=0.80165, auprc=0.70721
gen: auroc=0.69697, auprc=0.65003
dis: auroc=0.81726, auprc=0.71018
gen: auroc=0.70523, auprc=0.66171
dis: auroc=0.85124, auprc=0.74100
gen: auroc=0.71534, auprc=0.62713
dis: auroc=0.85583, auprc=0.75151
gen: auroc=0.69146, auprc=0.65325
dis: auroc=0.84665, auprc=0.74872
