gen: auroc=0.96221, auprc=0.96727
dis: auroc=0.74950, auprc=0.79873
gen: auroc=0.96631, auprc=0.97115
dis: auroc=0.76576, auprc=0.80225
gen: auroc=0.96882, auprc=0.97362
dis: auroc=0.72903, auprc=0.74616
gen: auroc=0.97556, auprc=0.97873
dis: auroc=0.74250, auprc=0.75146
gen: auroc=0.97913, auprc=0.98170
dis: auroc=0.70630, auprc=0.73170
gen: auroc=0.98111, auprc=0.98395
dis: auroc=0.66072, auprc=0.64505
gen: auroc=0.98230, auprc=0.98468
dis: auroc=0.65412, auprc=0.64029
gen: auroc=0.98322, auprc=0.98568
dis: auroc=0.64355, auprc=0.63901
gen: auroc=0.98375, auprc=0.98640
dis: auroc=0.64183, auprc=0.63326
gen: auroc=0.98507, auprc=0.98807
dis: auroc=0.64909, auprc=0.63996
gen: auroc=0.98626, auprc=0.98937
dis: auroc=0.63179, auprc=0.62563
gen: auroc=0.98771, auprc=0.99080
dis: auroc=0.63786, auprc=0.61492
gen: auroc=0.98837, auprc=0.99147
dis: auroc=0.63337, auprc=0.59344
gen: auroc=0.98864, auprc=0.99172
dis: auroc=0.61871, auprc=0.57634
gen: auroc=0.98877, auprc=0.99145
dis: auroc=0.62479, auprc=0.58622
gen: auroc=0.98983, auprc=0.99275
dis: auroc=0.50495, auprc=0.52759
gen: auroc=0.99102, auprc=0.99402
dis: auroc=0.50562, auprc=0.51007
gen: auroc=0.99207, auprc=0.99486
dis: auroc=0.50495, auprc=0.52001
gen: auroc=0.99234, auprc=0.99505
dis: auroc=0.48276, auprc=0.25000
gen: auroc=0.99273, auprc=0.99537
dis: auroc=0.48276, auprc=0.25000
gen: auroc=0.99339, auprc=0.99564
dis: auroc=0.48276, auprc=0.25000
gen: auroc=0.99392, auprc=0.99586
dis: auroc=0.48276, auprc=0.25000
gen: auroc=0.99379, auprc=0.99572
dis: auroc=0.48276, auprc=0.25000
gen: auroc=0.99379, auprc=0.99564
dis: auroc=0.48276, auprc=0.25000
gen: auroc=0.99458, auprc=0.99616
dis: auroc=0.48276, auprc=0.25000
gen: auroc=0.99498, auprc=0.99642
dis: auroc=0.48851, auprc=0.25000
gen: auroc=0.99472, auprc=0.99608
dis: auroc=0.48851, auprc=0.25000
gen: auroc=0.99538, auprc=0.99649
dis: auroc=0.48851, auprc=0.25000
gen: auroc=0.99604, auprc=0.99692
dis: auroc=0.48851, auprc=0.25000
gen: auroc=0.99656, auprc=0.99729
dis: auroc=0.48851, auprc=0.25000
