gen: auroc=0.83755, auprc=0.78840
dis: auroc=0.78080, auprc=0.75150
gen: auroc=0.85204, auprc=0.79749
dis: auroc=0.74502, auprc=0.67002
gen: auroc=0.86199, auprc=0.80420
dis: auroc=0.69211, auprc=0.60880
gen: auroc=0.86892, auprc=0.80937
dis: auroc=0.67290, auprc=0.57966
gen: auroc=0.87516, auprc=0.81404
dis: auroc=0.62856, auprc=0.53929
gen: auroc=0.88165, auprc=0.81902
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.88259, auprc=0.81788
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.88467, auprc=0.81897
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.88908, auprc=0.82199
dis: auroc=0.48413, auprc=0.25000
gen: auroc=0.88990, auprc=0.82255
dis: auroc=0.48810, auprc=0.25000
gen: auroc=0.89223, auprc=0.82446
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.89204, auprc=0.82296
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.89198, auprc=0.82118
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.89456, auprc=0.82199
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.89638, auprc=0.82244
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.89809, auprc=0.82247
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.90010, auprc=0.82474
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.89890, auprc=0.82584
dis: auroc=0.49206, auprc=0.25000
gen: auroc=0.89960, auprc=0.82621
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.90256, auprc=0.82899
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.90489, auprc=0.82950
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.90703, auprc=0.83072
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.90942, auprc=0.83393
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.91125, auprc=0.83749
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.91201, auprc=0.83826
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.91264, auprc=0.83895
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.91327, auprc=0.84024
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.91471, auprc=0.84306
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.91459, auprc=0.84091
dis: auroc=0.49603, auprc=0.25000
gen: auroc=0.91497, auprc=0.84123
dis: auroc=0.49603, auprc=0.25000
