gen: auroc=0.83333, auprc=0.91288
dis: auroc=0.80556, auprc=0.88232
gen: auroc=0.75000, auprc=0.79621
dis: auroc=0.77778, auprc=0.84482
gen: auroc=0.66667, auprc=0.76853
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.66667, auprc=0.66723
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.63889, auprc=0.63552
dis: auroc=0.80556, auprc=0.88232
gen: auroc=0.72222, auprc=0.73790
dis: auroc=0.80556, auprc=0.88232
gen: auroc=0.66667, auprc=0.68212
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.66667, auprc=0.72518
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.47222, auprc=0.55600
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.25000, auprc=0.35476
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.75000, auprc=0.71022
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.86111, auprc=0.88938
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.86111, auprc=0.89907
dis: auroc=0.83333, auprc=0.91288
gen: auroc=0.66667, auprc=0.74638
dis: auroc=0.88889, auprc=0.92963
gen: auroc=0.55556, auprc=0.66344
dis: auroc=0.88889, auprc=0.92963
gen: auroc=0.58333, auprc=0.50296
dis: auroc=0.94444, auprc=0.95536
gen: auroc=0.77778, auprc=0.85093
dis: auroc=0.94444, auprc=0.95536
gen: auroc=0.41667, auprc=0.41374
dis: auroc=0.94444, auprc=0.95536
gen: auroc=0.69444, auprc=0.73276
dis: auroc=0.94444, auprc=0.95536
gen: auroc=0.44444, auprc=0.42763
dis: auroc=0.94444, auprc=0.95536
gen: auroc=0.55556, auprc=0.61936
dis: auroc=0.97222, auprc=0.97421
gen: auroc=0.44444, auprc=0.55115
dis: auroc=0.97222, auprc=0.97421
gen: auroc=0.16667, auprc=0.33984
dis: auroc=0.94444, auprc=0.95536
gen: auroc=0.63889, auprc=0.71303
dis: auroc=0.94444, auprc=0.95536
gen: auroc=0.58333, auprc=0.52548
dis: auroc=0.97222, auprc=0.97421
gen: auroc=0.36111, auprc=0.39897
dis: auroc=0.97222, auprc=0.97421
gen: auroc=0.91667, auprc=0.94097
dis: auroc=0.97222, auprc=0.97421
gen: auroc=0.69444, auprc=0.77354
dis: auroc=0.97222, auprc=0.97421
gen: auroc=0.36111, auprc=0.40114
dis: auroc=0.97222, auprc=0.97421
gen: auroc=0.66667, auprc=0.69036
dis: auroc=0.97222, auprc=0.97421
